name,address,phone,website
코차이나로지스틱스코리아,서울특별시 강서구 마곡중앙4로 22 (마곡동) 에이동 1002호- 1003호- 1004호- 1005호 ,023220041,http://www.korchina.com
선진로지스틱스(주),서울특별시 강동구 양재대로 1553 (천호동)  ,02-2225-9610,http://www.sunjinsa.co.kr
헬만월드와이드로지스틱스,서울특별시 강서구 강서로 402 (등촌동- 재영빌딩) 10층 ,02-3663-8363,http://www.hellmann.net
(주)월드베스트로지스틱스,서울특별시 마포구 잔다리로 58 (서교동) 6층 ,02-3142-0045,http://www.worldbl.co.kr/
비제이항운(주),서울특별시 강서구 양천로 401 (가양동- 강서한강자이타워) B동 1501호- 1502호 ,023373110,http://www.bjfrt.co.kr
시노트란스코리아쉬핑(주),서울특별시 중구 소공로 116 (소공동- 서울센타빌딩) 5층 ,02-3788-8200,undefined
한국일본통운,서울특별시 영등포구 의사당대로 97 (여의도동) 11층 ,02-3775-1711,http://www.nipponexpress.com/kr/ko
주식회사 씨에이치로지스틱,서울특별시 서대문구 서소문로 27 (충정로3가- 충정리시온) 충정리시온 316호- 317호 ,023628686,undefined
한길해운항공주식회사,부산광역시 중구 충장대로 11 부산무역회관 12층 ,051-463-8380,http://www.hanroad.com
유동글로벌 로지스틱스,서울특별시 영등포구 당산로2길 12 에이스테크노타워 703호 ,02-2168-8854,undefined
볼로레로지스틱스코리아(주),서울특별시 마포구 삼개로 16 (도화동) 근신빌딩 102호 ,02-6719-9100,http://www.bollore-logistics.com
(주)스카이로드,서울특별시 강서구 방화대로 381 (방화동) 스카이 1997 ,02-3665-1671,http://www.skyrd.co.kr
(주)하트로트코리아,경기도 고양시 일산동구 호수로 358-25 (백석동) 906호 ,031-907-4024,http://www.hartrodt.com
메인프레이트코리아 유한회사,서울특별시 강서구 마곡중앙로 55 (마곡동) 811호(마곡동-문영퀸즈파크13) ,02-2664-8998,undefined
삼통(주),서울특별시 마포구 월드컵북로6길 24-7 (동교동- SANTOH빌딩)  ,02-3142-7233,http://www.santoh.co.kr
태영산구국제물류(주),서울특별시 중구 세종대로 74 삼정빌딩 2층 ,02-2139-0300,undefined
로지스코어 주식회사,인천광역시 연수구 송도미래로 30 (송도동) 디동 1205-1호- (송도동- 스마트밸리),032-818-1838,http://logiscore.co.kr/
(주)피앤에스네트웍스,서울특별시 영등포구 의사당대로 83 (여의도동) 오투빌딩 11층 ,02-2151-6300,http://www.pnsnetworks.com
(주)우성해상,부산광역시 중구 충장대로5번길 72 케이티부산통신센터 6층 ,051-441-3808,http://無
바른로지스틱스(주),부산광역시 서구 대티로179번길 40  ,051-466-1020,http://www.barun21.net
(주)그린오션로지스틱스,서울특별시 마포구 성지1길 32-22 (합정동)  ,02-3789-1388,undefined
삼익물류(주),서울특별시 중구 퇴계로 97 (충무로1가) 고려대연각센터빌딩 9층 901호 ,02-3708-7070,undefined
퓨처로직스,서울특별시 성동구 아차산로7나길 18 909호(성수동2가- 성수APEX CENTER) ,070-7098-0808,undefined
(주) 로얄지엘에스,서울특별시 마포구 월드컵로 196 (성산동) 3층(성산동- 대명비첸시티오피스텔) ,025980066,http://www.royalgls.kr/
인터지스,부산시 중구 충장대로 9번길 52  ,051-604-3333,http://www.intergis.co.kr
주식회사 아프로젝츠코리아,경상남도 창원시 진해- 신항 7로- 5- 3F,055 552 2331,http://www.aprojects.be
재단법인 경기도경제과학진흥원,경기도 수원시 영통구 광교로 107 ,031-259-6137,https://dts.gbcprime.com/
(주)제이투케이글로벌,부산광역시 해운대구 센텀서로 30 (우동) 케이엔엔타워 1006~1009호 ,051-905-4615,undefined
이산글로벌로지스틱주식회사,인천광역시 중구 인항로 6 비동 411호(신흥동3가- 정광씨팰리스) ,032-885-4284,http://www.esanglobal.kr
중앙국제운송,서울특별시 마포구 월드컵로 93 (망원동) 5-6층 (망원동) ,027110550,http://www.centralx.co.kr
제이시엘앤지브이시 주식회사,부산광역시 강서구 유통단지1로 41 (대저2동) 123동 205호 ,051-506-2162,undefined
대성로지스틱스,서울특별시 영등포구 당산로2길 12 3층 301호(문래동3가- 에이스테크노타워) ,023257811,http://www.dslkr.com
카고러쉬,서울특별시 금천구 가산디지털1로 168 (가산동) 1502(가산동- 우림라이온스밸리 비동) ,028890501,http://www.cargorush.com
주식회사 비슈어라인,서울특별시 성동구 연무장5가길 7 - 502호(성수동 2가- 성수역 현대테라스타워)  ,02-6217-5200,undefined
(주)씨콘,서울특별시 영등포구 영등포로 150 비동 604호(당산동 1가- 생각공장당산) ,027762121,undefined
엔와이국제물류주식회사,서울특별시 영등포구 양평로22길 21 306-307-308호 ,070-5208-2575,http://www.nyil.co.kr
오케이물류(주),부산광역시 중구 대청로155번길 6 (중앙동4가) 유성빌딩 3층 ,051-977-7770,http://www.oksa.co.kr
주식회사 에이앤비글로벌로지스,서울특별시 강서구 공항대로 194 (마곡동) 퀸즈파크 12차 801-2호 ,02-2038-3797,http://www.anbgl.co.kr
상원로지스틱(주),경기도 화성시 동탄산단3길 19-22 (방교동- 상원로지스틱)  ,031-378-3801,http://www.swlogic.co.kr
타이거프레이트 주식회사,서울특별시 영등포구 양산로 91 - 1119호(당산동3가- 리드원센터) ,02-2038-2585,undefined
(주)　에이원로지스틱,광주광역시 광산구 수완로12번길 13 (수완동)  ,062-962-2118,undefined
썬월드해운항공 주식회사,서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩 1501호 ,070-5102-4683,undefined
트레드링스(관리자),서울특별시 강남구 학동로 134- (논현동 가구거리) LX지인 빌딩 4층,02-545-0522,http://www.tradlinx.com
(주)에이치티엔티,남동구 장자로 10 ,정보가 없습니다.,undefined
(주)아이에스에이상운,서울특별시 영등포구 여의공원로 101 (여의도동- C.C.M.M빌딩) 7층 707호 ,027740411,http://www.isasel.co.kr/
코랍글로벌,서울특별시 중구 무교로 20 (무교동) 어린이재단빌딩 401호 ,027758339,http://www.korab.co.kr
ARK LINE,서울특별시 서대문구 연희로27길 104-5 (연희동) - ,023375360,http://www.arkline.co.kr/
(주)이도로지스틱스,서울특별시 강서구 양천로 551-24 (가양동- 한화비즈메트로2차) 한화비즈메트로2차 704호 ,02-3143-0305,http://www.idologis.com
(주)씨에어랜드브리지,서울특별시 강서구 마곡중앙로 56 (마곡동) - 마곡사이언스타워2 806호 ,02-6335-1481,http://www.salb.co.kr
(주)토니해운항공,부산광역시 동구 중앙대로 263 (초량동) 14층 1409호 ,051-441-7411,http://www.tonyglogix.com
주식회사 이로지스아시아,서울특별시 강서구 양천로 400-12 (가양동) 더리브골드타워 603호 ,02-6949-1340,https://www.2logis.com
제이와이피라인(주),부산광역시 중구 해관로 89 3층 307호(대창동1가- 부산중앙빌딩) ,051-463-7945,http://www.jypline.com
대륙항공해운(주),서울특별시 영등포구 양산로 43 우림이비즈센타 207호 ,027108999,http://www.tcikorea.co.kr
CENTRAN INTERNATIONAL CORP (THAILAND) LTD.,KLONGTON- KLONGTOEY- BANGKOK 10110- 3388/91 SIRINRAT BLD 25TH FLOOR- RAMA 4 ,662-367-5935,http://cic.co.th/en/ABOUT-US
(주)지엘로직스,부산광역시 중구 충장대로5번길 12-1 -5층 504호(중앙동4가) ,051-468-7737,undefined
글로벌로지탑,서울특별시 금천구 서부샛길 606 (가산동) B동 18층 1802호 (대성디폴리스지식산업센터) ,028328777,http://www.gblogitop.com
케이브릿지(주),부산광역시 동구 조방로 17- 5층 501호,051-633-3331,http://www.kbridges.co.kr
에이맷로지스틱스　주식회사,부산광역시 중구 충장대로9번길 52 906호 (중앙동4가 부산마린센터) ,051-465-9393,http://aimat.co.kr
(주)이지엘코엘티디,서울특별시 성동구 연무장11길 15 - 5층(성수동2가- 청운재빌딩) ,027839993,undefined
(주)미래이노베이터,부산광역시 연제구 시청로 6- 103동 304호(연산동- 부산더샵시티애비뉴1차아파트),051-927-1388,undefined
코차이나 네덜란드,Beechavenue110 (2nd floor)- 1119 PP Schiphol-Rijk ,+31 20 654 4757,http://my.korchina.eu
주식회사 원메이저글로벌,부산광역시 강서구 유통단지1로 50 (대저2동) 206동 213호(부산티플렉스) ,051-926-3001,undefined
비에이블로지스 주식회사,경기도 용인시 기흥구 중부대로 382 (신갈동) 513호- (신갈동- STAYTOWER),010-7272-9608,undefined
한솔로지스틱스,서울특별시 중구 을지로 100 (을지로2가- 파인에비뉴) 비동 22층 ,02-3287-7293,https://www.hansollogistics.com/
LF LOGISTICS,서울특별시 강남구 테헤란로 620 (대치동) 미래에셋타워 7층 ,02-3441-6216,http://www.lflogistics.com
남성해운(주),서울특별시 중구 삼일대로 363 (장교동) 17층 ,027728830,http://www.namsung.co.kr
시리우스 글로벌,서울특별시 강서구 마곡중앙로 171 (마곡동) 마곡나루역 프라이빗타워2차 714호 ,02-3275-3333,http://www.siriusglobal.co.kr
베스트웨이트랜스포트(주),서울특별시 영등포구 당산로41길 11- SK V1센터 E-612,023237111,http://www.bestwayex.co.kr
CK PAN ASIA,서울특별시 마포구 마포대로 86 (도화동) 1820호 ,027167800,http://www.ckpanasia.com
주식회사 티로지스,인천 중구 자유무역- D4 3층,032-814-0100,http://www.tlogis.kr
주식회사 이맥스글로비즈,대구광역시 수성구 수성로 140-4 (상동) 3층 ,070-8767-5800,http://www.imexglobiz.com
동원산업,서울특별시 서초구 마방로 68 (양재동) 동원산업빌딩 ,051-589-4671,http://www.dongwon.com
(주)마루 씨앤에어,서울특별시 송파구 백제고분로 467 (방이동) 이롬빌딩 3층 ,024167840,undefined
오리엔탈쉬핑,부산광역시 해운대구 달맞이길 43 (중동- 이안해운대파일론) 2505호 ,051-743-6434,http://www.oscl.com
핀로직스,경기도 과천시 과천대로7길 33 (갈현동) 디테크타워 B동 1003호 ,025869122,http://www.pinlogix.co.kr
(주)록시아이에프씨,서울특별시 영등포구 당산로41길 11 (당산동4가- 당산 SK V1 center) w동 1108호 ,02-6671-0999,http://www.roxyifc.com
(주)유니베스트코리아,서울특별시 중구 다동길 5 (무교동) 1506호 ,027553038,http://www.uni-best.co.kr
주식회사 오케이해운,경기도 고양시 일산동구 일산로 11 (백석동- 흰돌마을5단지아파트) 507동 805호 ,023332422,http://www.okship.or.kr
DONGNAM LOGISTICS LTD.,Units 710-11- 7/F- The Octagon- No.6 Sha Tsui Road- Tsuen Wan- N.T ,852-3656-0300,http://www.dongnamlog.com
베가로직스(주),서울특별시 강서구 공항대로 164 (마곡동) - 1208호- 1209호 ,027232600,http://www.vegalogix.com
탑에이스마린,서울특별시 마포구 마포대로 44 (도화동) 10층 1008호(진도빌딩) ,027171747,http://www.topace.co.kr
(주)이지엘로지스틱,경기도 고양시 일산동구 숲속마을로 68 (풍동- 숲속마을6단지아파트) 65-901호 ,02-2666-6161,undefined
(주)에이에스로지스틱스,서울특별시 금천구 가산디지털1로 128 (가산동) - 1805-5호(에스티엑스브이타워) ,02-6265-0490,undefined
주)아스타로지텍코리아,서울특별시 영등포구 당산로41길 11 당산에스케이브이1센터 W1407호 ,02-6268-8850,http://www.myastar.co.kr
(주)코운로지스틱스,서울특별시 마포구 양화로 156 (동교동) - LG 팰리스빌딩 1406호 ,02-3210-3702,https://www.coun.co.kr
주식회사 씨엠글로벌로지스틱스,서울특별시 강서구 공항대로 237 (마곡동) 806호 ,02-6953-3041,undefined
(주)서희해운항공,인천광역시 계양구 벌말로392번길 15-1 (상야동)  ,032-524-0029,http://www.seoheesa.co.kr
GYRO LOGISTICS MX,AVE. REVOLUCION 2703 COL. LADRILLERA- MONTERREY- NUEVO LEON- MEXICO CP 64830,+52-81-8148-460,http://WWW.GYROLOGISTICS.COM
(주)시리우스해운항공,서울특별시 강서구 마곡중앙6로 70 (마곡동) 8층 814호(마곡동-  매그넘797) ,02-6956-3311,http://www.sseair.co.kr
주식회사 씨아이에프글로벌코리아,서울특별시 영등포구 양산로 91 6층 603호(당산동3가- 리드원센터) ,02-6951-2610,undefined
